siyam_ref,type,make,application,year,core_size,number_of_rows,inlet_pipe,outlet_pipe,eoc,toc,oems,replaces,category
IMS-559,Copper/Brass Radiator,Ford,Bronco,1980-1984,"21 15/16"" x 20 7/8"" x 1 1/8""",2RB,"1 1/2""","1 3/4""",Yes,No,E0TH8005AUB / EOTH8005ATB / E0TH8005UA / E1TH8005AA,DPI 559,automotive_cb
IMS-774,Copper/Brass Radiator,Chevrolet,"R2500 Cheyenne, R2500 Silverado, R2500 Suburban",1989-1991,"34 5/16"" x 20 11/16"" x 2 7/16""",4RB,"1 1/4""","1 9/16""",Yes,No,52450273 / 52450275,DPI 774,automotive_cb
IMS-847,Copper/Brass Radiator,Ford,"E-100, E-250",1975-1980,"21 5/16"" x 30 5/16"" x 2 7/16""",4RIMS,"1 1/2""","1 3/4""",Yes,No,E3UH8005AXA / E9UZ8005D / D5UA8005UA / E3UA8005AKA,DPI 847,automotive_cb
IMS-922,Copper/Brass Radiator,Dodge,D100,1979-1987,"18 5/16"" x 25 1/2"" x 1 1/8""",2RB,"1 1/2""","1 1/2""",Yes,No,4089366 / 4140241,DPI 922,automotive_cb
IMS-1079,Copper/Brass Radiator,Dodge,"D250, D350, W250, W350",1989-1993,"16 7/8"" x 30 5/16"" x 1 1/8""",2RB,"1 3/4""","1 5/16""",No,No,52006785 / 4428169,DPI 1079,automotive_cb
IMS-1166,Copper/Brass Radiator,Ford,"F Super Duty, F-150, F-250",1983-1996,"15 7/8"" x 37 5/8"" x 2 5/8""",4RIMS,"1 3/4""","2""",Yes,No,E3TH8005XA / E3TH8005XC / E8TH8005EA / E8TH8005FA / E8TZ8005B / E9TH8005KA / F2TZ8005AA,DPI 1166,automotive_cb
IMS-1198,Copper/Brass Radiator,Dodge,"D250, D350, Ramcharger",1989-1993,"26 1/8"" x 20 7/8"" x 1 3/4""",3RB,"1 3/4""","1 5/16""",No,No,C3940493 / 52028221,DPI 1198,automotive_cb
IMS-1364,Copper/Brass Radiator,Chevrolet,"Blazer Cheyenne, Blazer Silverado, C2500 Cheyenne",1992-1993,"34 3/16"" x 20 11/16"" x 1 3/4""",3RB,"1 3/4""","1 3/4""",Yes,No,52458844,DPI 1364,automotive_cb
IMS-1448,Copper/Brass Radiator,Ford,E-350,1992-1996,"21 1/2"" x 30 5/16"" x 1 3/4""",3RIMS,"1 1/2""","1 3/4""",Yes,No,F2UH8005AE / F2UH8005AD / F2UZ8005A / F5UH8005AE,DPI 1448,automotive_cb
IMS-1463,Copper/Brass Radiator,Ford,Falcon,1960-1965,"16 7/16"" x 17 3/16"" x 1 3/4""",3RIMS,"1 1/4""","1 1/4""",Yes,No,C4ZE8005U / C4DE8005H / C4DE8005M,DPI 1463,automotive_cb
IMS-944,Copper/Brass Radiator,Toyota,"Pickup DLX, SR5",1979-1983,"14 15/16"" x 20 7/8"" x 1 1/8""",2RB,"1 3/8""","1 3/8""",No,No,1640031640 / 1640034290,DPI 944,automotive_cb
12417,Plastic/Aluminum Radiator,Buick,"Buick Allure, LaCrosse / Chevrolet Impala",2004-2009,"30 1/2"" x 14 1/8"" x 5/8""",1,"1 5/16""","1 5/16""",Yes,No,10324030 / 15140506,DPI 2710,automotive_pa
2235-LP5,Plastic/Aluminum Radiator,Cadillac,Escalade,1996-2014,"34 1/16"" x 17 1/4"" x 1""",1,"1 5/16""","1 9/16""",Yes,Yes,15124631 / 15143107 / 15189402,DPI 2370,automotive_pa
5239-P,Plastic/Aluminum Radiator,Cadillac,Cadillac Escalade / Chevrolet Silverado,1999-2013,"28 1/4"" x  17 1/4"" x 1""",1,"1 5/16""","1 9/16""",Yes,No,52486600 / 52486601,DPI 2334,automotive_pa
6220-LP5,Plastic/Aluminum Radiator,Cadillac,Escalade,1999-2014,"34 1/16"" x 17 1/4"" x 1""",1,"1 5/16""","1 9/16""",Yes,No,52486597 / 52486598 / 52487603,DPI 2423,automotive_pa
2262-LP,Plastic/Aluminum Radiator,Chevrolet,"Blazers, S10",1996-2005,"26 1/4"" x 14 7/8"" x 1""",1,"1 5/16""","1 9/16""",Yes,Yes,52472963 / 52462548,DPI 1826,automotive_pa
12411,Plastic/Aluminum Radiator,Chevrolet,"Blazer, C10",1975-1986,"28 7/16"" x 19 3/16"" x 2 1/4""",1,"1 5/16""","1 5/8""",Yes,No,3030218 / 3030219 / 3036736 / 3036739 / 3050785 / 3058962 / 3058964,DPI 730,automotive_pa
12271,Plastic/Aluminum Radiator,Chrysler,Town & Country,2011-2016,"24 1/16"" x 20 11/16"" x 1 1/4""",1,"1 1/2""","1 1/2""",No,No,,DPI 13063,automotive_pa
7204-M ,Plastic/Aluminum Radiator,Chrysler,"Chrysler Town & Country, Voyager / Dodge Caravan",2005-2007,"30 5/16"" x 16 1/16"" x 1 1/4""",1,"1 1/2""","1 9/16""",No,No,4677523 / 4677523AA / 4677692,DPI 2795,automotive_pa
12540,Plastic/Aluminum Radiator,Chrysler,300/300C,2005-2008,"24 3/16"" x 18 7/16"" x 1 1/4""",1,"1 1/2""","1 7/16""",No,No,5170742AA / 68050126AB,DPI 2767,automotive_pa
7206-L,Plastic/Aluminum Radiator,Dodge,Ram 1500 Laramie,2002-2008,"24 1/8"" x 18 13/16"" x 1""",1,"1 1/2""","1 3/4""",No,No,K52028830AF / K52028830AG / K55056681AC,DPI 2480,automotive_pa
12441,Plastic/Aluminum Radiator,Dodge,Ram 1500,1994-2002,"31 5/8"" x 19 3/16"" x 1 1/4""",1,"1 1/2 ""","1 3/4""",Yes,No,52006491AC / 52006491AB / 52028057AF / 52028057AC,DPI 1552,automotive_pa
4262-LP5,Plastic/Aluminum Radiator,Ford,Ford Explorer / Mercury Mountaineer,2006-2007,"23 1/4"" x 22 3/8"" x 1 1/4""",1,"1 1/2""","1 1/2""",Yes,No,6L2Z8005AD / 8L2Z8005A,DPI 2816,automotive_pa
6219-P5,Plastic/Aluminum Radiator,Ford,Explorer,2007-2010,"23 1/4"" x 22 3/8"" x 1 1/4""",1,"1 1/2""","1 1/2""",Yes,No,7L2Z8005A / 8L2Z8005A,DPI 2952,automotive_pa
12445,Plastic/Aluminum Radiator,Ford,"Excursion, F-150",1998-2005,"26 1/2"" x 29 7/16"" x 1""",1,"1 3/4""","1 3/4""",Yes,No,F81Z8005FA / 3C3Z8005FA / F81H8005GA,DPI 2170,automotive_pa
12491,Plastic/Aluminum Radiator,Ford,"F-250, F-350, F-59, F-Super",1995-1997,"23 5/8"" x 29 13/16"" x 2 1/4""",1,"1 3/4""","1 3/4""",Yes,No,,DPI 1725,automotive_pa
277,Plastic/Aluminum Radiator,Jeep,"Cherokee Briarwood, Classic",1991-2001,"30 7/8"" x 10 9/16"" x 1 1/4""",1,"1 1/4""","1 1/2""",Yes,No,52079628AC,DPI 1193,automotive_pa
2216,Plastic/Aluminum Radiator,Jeep,Grand Cherokee,1999-2004,"23 9/16"" x 21 9/16"" x 1""",1,"1 1/2""","1 1/2""",Yes,No,52079428 / 52079428AB / 52079428AC,DPI 2262,automotive_pa
5213-LP,Plastic/Aluminum Radiator,Jeep,Liberty,2001-2008,"19 15/16"" x 20"" x 1""",1,"1 1/2""","1 13/16""",Yes,No,52079729AA / 52079729AB / 52079729AC,DPI 2481,automotive_pa
